127.0.0.1 - - [11/Jan/2024:08:52:52 +0700] "GET / HTTP/1.1" 404 751
10.59.90.133 - - [11/Jan/2024:08:52:56 +0700] "GET /FileUploadVul/ HTTP/1.1" 200 2209
10.59.90.133 - - [11/Jan/2024:08:53:18 +0700] "POST /FileUploadVul/fileuploadservlet HTTP/1.1" 200 281
10.59.90.133 - - [11/Jan/2024:08:53:18 +0700] "GET /FileUploadVul/uploads/index.jpg HTTP/1.1" 200 13000
10.59.90.133 - - [11/Jan/2024:08:53:20 +0700] "GET /FileUploadVul HTTP/1.1" 302 -
10.59.90.133 - - [11/Jan/2024:08:53:20 +0700] "GET /FileUploadVul/ HTTP/1.1" 200 2209
10.59.90.133 - - [11/Jan/2024:09:03:09 +0700] "POST /FileUploadVul/fileuploadservlet HTTP/1.1" 200 281
10.59.90.133 - - [11/Jan/2024:09:03:09 +0700] "GET /FileUploadVul/uploads/index.jpg HTTP/1.1" 200 13000
10.59.90.133 - - [11/Jan/2024:09:03:10 +0700] "GET /FileUploadVul/uploads/index.jpg HTTP/1.1" 304 -
10.59.90.133 - - [11/Jan/2024:09:06:17 +0700] "POST /FileUploadVul/fileuploadservlet HTTP/1.1" 200 173
10.59.90.133 - - [11/Jan/2024:09:06:17 +0700] "POST /FileUploadVul/fileuploadservlet HTTP/1.1" 200 173
10.59.90.133 - - [11/Jan/2024:09:06:18 +0700] "POST /FileUploadVul/fileuploadservlet HTTP/1.1" 200 173
10.59.90.133 - - [11/Jan/2024:09:06:18 +0700] "POST /FileUploadVul/fileuploadservlet HTTP/1.1" 200 173
10.59.90.133 - - [11/Jan/2024:09:06:18 +0700] "POST /FileUploadVul/fileuploadservlet HTTP/1.1" 200 173
10.59.90.133 - - [11/Jan/2024:09:06:19 +0700] "POST /FileUploadVul/fileuploadservlet HTTP/1.1" 200 173
10.59.90.133 - - [11/Jan/2024:09:06:19 +0700] "POST /FileUploadVul/fileuploadservlet HTTP/1.1" 200 173
10.59.90.133 - - [11/Jan/2024:09:06:19 +0700] "POST /FileUploadVul/fileuploadservlet HTTP/1.1" 200 173
10.59.90.133 - - [11/Jan/2024:09:06:20 +0700] "POST /FileUploadVul/fileuploadservlet HTTP/1.1" 200 173
10.59.90.133 - - [11/Jan/2024:09:06:20 +0700] "GET /FileUploadVul/mys.jsp?cmd=whoami HTTP/1.1" 404 737
10.59.90.133 - - [11/Jan/2024:09:06:20 +0700] "POST /FileUploadVul/fileuploadservlet HTTP/1.1" 200 173
10.59.90.133 - - [11/Jan/2024:09:06:20 +0700] "GET /FileUploadVul/mys.jsp?cmd=whoami HTTP/1.1" 404 737
10.59.90.133 - - [11/Jan/2024:09:06:21 +0700] "GET /FileUploadVul/mys.jsp?cmd=whoami HTTP/1.1" 404 737
10.59.90.133 - - [11/Jan/2024:09:06:21 +0700] "GET /FileUploadVul/mys.jsp?cmd=whoami HTTP/1.1" 404 737
10.59.90.133 - - [11/Jan/2024:09:06:21 +0700] "POST /FileUploadVul/fileuploadservlet HTTP/1.1" 200 173
10.59.90.133 - - [11/Jan/2024:09:06:21 +0700] "GET /FileUploadVul/mys.jsp?cmd=whoami HTTP/1.1" 404 737
10.59.90.133 - - [11/Jan/2024:09:06:21 +0700] "GET /FileUploadVul/mys.jsp?cmd=whoami HTTP/1.1" 404 737
10.59.90.133 - - [11/Jan/2024:09:06:22 +0700] "POST /FileUploadVul/fileuploadservlet HTTP/1.1" 200 173
10.59.90.133 - - [11/Jan/2024:09:06:22 +0700] "GET /FileUploadVul/mys.jsp?cmd=whoami HTTP/1.1" 404 737
10.59.90.133 - - [11/Jan/2024:09:06:22 +0700] "POST /FileUploadVul/fileuploadservlet HTTP/1.1" 200 173
10.59.90.133 - - [11/Jan/2024:09:06:22 +0700] "GET /FileUploadVul/mys.jsp?cmd=whoami HTTP/1.1" 404 737
10.59.90.133 - - [11/Jan/2024:09:06:23 +0700] "GET /FileUploadVul/mys.jsp?cmd=whoami HTTP/1.1" 404 737
10.59.90.133 - - [11/Jan/2024:09:06:23 +0700] "POST /FileUploadVul/fileuploadservlet HTTP/1.1" 200 173
10.59.90.133 - - [11/Jan/2024:09:06:23 +0700] "GET /FileUploadVul/mys.jsp?cmd=whoami HTTP/1.1" 404 737
10.59.90.133 - - [11/Jan/2024:09:06:23 +0700] "POST /FileUploadVul/fileuploadservlet HTTP/1.1" 200 173
10.59.90.133 - - [11/Jan/2024:09:06:24 +0700] "GET /FileUploadVul/mys.jsp?cmd=whoami HTTP/1.1" 404 737
10.59.90.133 - - [11/Jan/2024:09:06:24 +0700] "POST /FileUploadVul/fileuploadservlet HTTP/1.1" 200 173
10.59.90.133 - - [11/Jan/2024:09:06:24 +0700] "GET /FileUploadVul/mys.jsp?cmd=whoami HTTP/1.1" 404 737
10.59.90.133 - - [11/Jan/2024:09:06:25 +0700] "GET /FileUploadVul/mys.jsp?cmd=whoami HTTP/1.1" 404 737
10.59.90.133 - - [11/Jan/2024:09:06:25 +0700] "POST /FileUploadVul/fileuploadservlet HTTP/1.1" 200 173
10.59.90.133 - - [11/Jan/2024:09:06:26 +0700] "GET /FileUploadVul/mys.jsp?cmd=whoami HTTP/1.1" 404 737
10.59.90.133 - - [11/Jan/2024:09:06:26 +0700] "POST /FileUploadVul/fileuploadservlet HTTP/1.1" 200 173
10.59.90.133 - - [11/Jan/2024:09:06:26 +0700] "GET /FileUploadVul/mys.jsp?cmd=whoami HTTP/1.1" 404 737
10.59.90.133 - - [11/Jan/2024:09:06:27 +0700] "POST /FileUploadVul/fileuploadservlet HTTP/1.1" 200 173
10.59.90.133 - - [11/Jan/2024:09:06:27 +0700] "GET /FileUploadVul/mys.jsp?cmd=whoami HTTP/1.1" 404 737
10.59.90.133 - - [11/Jan/2024:09:06:28 +0700] "POST /FileUploadVul/fileuploadservlet HTTP/1.1" 200 173
10.59.90.133 - - [11/Jan/2024:09:06:28 +0700] "GET /FileUploadVul/mys.jsp?cmd=whoami HTTP/1.1" 404 737
10.59.90.133 - - [11/Jan/2024:09:06:29 +0700] "POST /FileUploadVul/fileuploadservlet HTTP/1.1" 200 173
10.59.90.133 - - [11/Jan/2024:09:06:29 +0700] "GET /FileUploadVul/mys.jsp?cmd=whoami HTTP/1.1" 404 737
10.59.90.133 - - [11/Jan/2024:09:06:30 +0700] "GET /FileUploadVul/mys.jsp?cmd=whoami HTTP/1.1" 404 737
10.59.90.133 - - [11/Jan/2024:09:06:30 +0700] "POST /FileUploadVul/fileuploadservlet HTTP/1.1" 200 173
10.59.90.133 - - [11/Jan/2024:09:06:31 +0700] "GET /FileUploadVul/mys.jsp?cmd=whoami HTTP/1.1" 404 737
10.59.90.133 - - [11/Jan/2024:09:06:31 +0700] "POST /FileUploadVul/fileuploadservlet HTTP/1.1" 200 173
10.59.90.133 - - [11/Jan/2024:09:06:31 +0700] "GET /FileUploadVul/mys.jsp?cmd=whoami HTTP/1.1" 404 737
10.59.90.133 - - [11/Jan/2024:09:06:32 +0700] "POST /FileUploadVul/fileuploadservlet HTTP/1.1" 200 173
10.59.90.133 - - [11/Jan/2024:09:06:33 +0700] "GET /FileUploadVul/mys.jsp?cmd=whoami HTTP/1.1" 404 737
10.59.90.133 - - [11/Jan/2024:09:06:33 +0700] "POST /FileUploadVul/fileuploadservlet HTTP/1.1" 200 173
10.59.90.133 - - [11/Jan/2024:09:06:34 +0700] "GET /FileUploadVul/mys.jsp?cmd=whoami HTTP/1.1" 404 737
10.59.90.133 - - [11/Jan/2024:09:06:34 +0700] "POST /FileUploadVul/fileuploadservlet HTTP/1.1" 200 173
10.59.90.133 - - [11/Jan/2024:09:06:35 +0700] "GET /FileUploadVul/mys.jsp?cmd=whoami HTTP/1.1" 404 737
10.59.90.133 - - [11/Jan/2024:09:06:35 +0700] "POST /FileUploadVul/fileuploadservlet HTTP/1.1" 200 173
10.59.90.133 - - [11/Jan/2024:09:06:36 +0700] "GET /FileUploadVul/mys.jsp?cmd=whoami HTTP/1.1" 404 737
10.59.90.133 - - [11/Jan/2024:09:06:36 +0700] "POST /FileUploadVul/fileuploadservlet HTTP/1.1" 200 173
10.59.90.133 - - [11/Jan/2024:09:06:37 +0700] "GET /FileUploadVul/mys.jsp?cmd=whoami HTTP/1.1" 404 737
10.59.90.133 - - [11/Jan/2024:09:06:37 +0700] "POST /FileUploadVul/fileuploadservlet HTTP/1.1" 200 173
10.59.90.133 - - [11/Jan/2024:09:06:38 +0700] "GET /FileUploadVul/mys.jsp?cmd=whoami HTTP/1.1" 404 737
10.59.90.133 - - [11/Jan/2024:09:06:39 +0700] "POST /FileUploadVul/fileuploadservlet HTTP/1.1" 200 173
10.59.90.133 - - [11/Jan/2024:09:06:39 +0700] "GET /FileUploadVul/mys.jsp?cmd=whoami HTTP/1.1" 404 737
10.59.90.133 - - [11/Jan/2024:09:06:40 +0700] "POST /FileUploadVul/fileuploadservlet HTTP/1.1" 200 173
10.59.90.133 - - [11/Jan/2024:09:06:40 +0700] "GET /FileUploadVul/mys.jsp?cmd=whoami HTTP/1.1" 404 737
10.59.90.133 - - [11/Jan/2024:09:06:42 +0700] "POST /FileUploadVul/fileuploadservlet HTTP/1.1" 200 173
10.59.90.133 - - [11/Jan/2024:09:06:42 +0700] "GET /FileUploadVul/mys.jsp?cmd=whoami HTTP/1.1" 404 737
10.59.90.133 - - [11/Jan/2024:09:06:43 +0700] "POST /FileUploadVul/fileuploadservlet HTTP/1.1" 200 173
10.59.90.133 - - [11/Jan/2024:09:06:43 +0700] "GET /FileUploadVul/mys.jsp?cmd=whoami HTTP/1.1" 404 737
10.59.90.133 - - [11/Jan/2024:09:06:44 +0700] "POST /FileUploadVul/fileuploadservlet HTTP/1.1" 200 173
10.59.90.133 - - [11/Jan/2024:09:06:44 +0700] "GET /FileUploadVul/mys.jsp?cmd=whoami HTTP/1.1" 404 737
10.59.90.133 - - [11/Jan/2024:09:06:46 +0700] "POST /FileUploadVul/fileuploadservlet HTTP/1.1" 200 173
10.59.90.133 - - [11/Jan/2024:09:06:46 +0700] "GET /FileUploadVul/mys.jsp?cmd=whoami HTTP/1.1" 404 737
10.59.90.133 - - [11/Jan/2024:09:06:47 +0700] "GET /FileUploadVul/mys.jsp?cmd=whoami HTTP/1.1" 404 737
10.59.90.133 - - [11/Jan/2024:09:06:47 +0700] "POST /FileUploadVul/fileuploadservlet HTTP/1.1" 200 173
10.59.90.133 - - [11/Jan/2024:09:06:49 +0700] "GET /FileUploadVul/mys.jsp?cmd=whoami HTTP/1.1" 404 737
10.59.90.133 - - [11/Jan/2024:09:06:49 +0700] "POST /FileUploadVul/fileuploadservlet HTTP/1.1" 200 173
10.59.90.133 - - [11/Jan/2024:09:06:50 +0700] "GET /FileUploadVul/mys.jsp?cmd=whoami HTTP/1.1" 404 737
10.59.90.133 - - [11/Jan/2024:09:06:50 +0700] "POST /FileUploadVul/fileuploadservlet HTTP/1.1" 200 173
10.59.90.133 - - [11/Jan/2024:09:06:52 +0700] "GET /FileUploadVul/mys.jsp?cmd=whoami HTTP/1.1" 404 737
10.59.90.133 - - [11/Jan/2024:09:06:52 +0700] "POST /FileUploadVul/fileuploadservlet HTTP/1.1" 200 173
10.59.90.133 - - [11/Jan/2024:09:06:53 +0700] "GET /FileUploadVul/mys.jsp?cmd=whoami HTTP/1.1" 404 737
10.59.90.133 - - [11/Jan/2024:09:06:54 +0700] "POST /FileUploadVul/fileuploadservlet HTTP/1.1" 200 173
10.59.90.133 - - [11/Jan/2024:09:06:55 +0700] "GET /FileUploadVul/mys.jsp?cmd=whoami HTTP/1.1" 404 737
10.59.90.133 - - [11/Jan/2024:09:06:55 +0700] "POST /FileUploadVul/fileuploadservlet HTTP/1.1" 200 173
10.59.90.133 - - [11/Jan/2024:09:06:56 +0700] "GET /FileUploadVul/mys.jsp?cmd=whoami HTTP/1.1" 404 737
