127.0.0.1 - - [16/Jan/2024:17:40:37 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [16/Jan/2024:17:40:49 +0700] "GET /FileUploadVul/ HTTP/1.1" 200 2223
0:0:0:0:0:0:0:1 - - [16/Jan/2024:17:40:53 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [16/Jan/2024:17:51:39 +0700] "POST /FileUploadVul/fileuploadservlet HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [16/Jan/2024:17:52:21 +0700] "POST /FileUploadVul/fileuploadservlet HTTP/1.1" 200 275
0:0:0:0:0:0:0:1 - - [16/Jan/2024:17:52:21 +0700] "GET /FileUploadVul/uploads/tst.jpg HTTP/1.1" 200 13000
0:0:0:0:0:0:0:1 - - [16/Jan/2024:17:52:28 +0700] "GET /FileUploadVul HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jan/2024:17:52:28 +0700] "GET /FileUploadVul/ HTTP/1.1" 200 2223
0:0:0:0:0:0:0:1 - - [16/Jan/2024:17:59:35 +0700] "POST /FileUploadVul/fileuploadservlet HTTP/1.1" 200 112
0:0:0:0:0:0:0:1 - - [16/Jan/2024:17:59:52 +0700] "POST /FileUploadVul/fileuploadservlet HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [16/Jan/2024:17:59:52 +0700] "GET /FileUploadVul/uploads/tst1.jpg HTTP/1.1" 200 13000
0:0:0:0:0:0:0:1 - - [16/Jan/2024:17:59:55 +0700] "GET /FileUploadVul HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jan/2024:17:59:55 +0700] "GET /FileUploadVul/ HTTP/1.1" 200 2223
0:0:0:0:0:0:0:1 - - [16/Jan/2024:18:00:19 +0700] "GET /FileUploadVul/ HTTP/1.1" 200 2223
0:0:0:0:0:0:0:1 - - [16/Jan/2024:18:00:34 +0700] "POST /FileUploadVul/fileuploadservlet HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [16/Jan/2024:18:00:35 +0700] "GET /FileUploadVul/uploads/upload_952 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jan/2024:18:00:35 +0700] "GET /FileUploadVul/uploads/upload_952/ HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [16/Jan/2024:18:00:57 +0700] "GET /FileUploadVul HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jan/2024:18:00:57 +0700] "GET /FileUploadVul/ HTTP/1.1" 200 2223
0:0:0:0:0:0:0:1 - - [16/Jan/2024:18:01:02 +0700] "POST /FileUploadVul/fileuploadservlet HTTP/1.1" 200 112
0:0:0:0:0:0:0:1 - - [16/Jan/2024:18:01:14 +0700] "POST /FileUploadVul/fileuploadservlet HTTP/1.1" 200 169
0:0:0:0:0:0:0:1 - - [16/Jan/2024:18:01:15 +0700] "GET /FileUploadVul HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jan/2024:18:01:15 +0700] "GET /FileUploadVul/ HTTP/1.1" 200 2223
0:0:0:0:0:0:0:1 - - [16/Jan/2024:18:04:27 +0700] "GET /FileUploadVul/uploads/upload_952/ HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [16/Jan/2024:18:04:32 +0700] "POST /FileUploadVul/fileuploadservlet HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [16/Jan/2024:18:04:33 +0700] "GET /FileUploadVul/uploads/upload_643 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jan/2024:18:04:33 +0700] "GET /FileUploadVul/uploads/upload_643/ HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [16/Jan/2024:18:04:37 +0700] "GET /FileUploadVul HTTP/1.1" 302 -
